2026-06-24 13:11:56,616 [INFO] __main__: Logging iniciado en c:\Users\Victus-LP\SynologyDrive\Uni\2025-2026\zTFG\Repo\Trabajo-Fin-de-Grado-2025-2026\data\hives.log
2026-06-24 13:11:56,780 [INFO] hives.inference.model: load_model: buscando en c:\Users\Victus-LP\SynologyDrive\Uni\2025-2026\zTFG\Repo\Trabajo-Fin-de-Grado-2025-2026\models
2026-06-24 13:11:56,979 [WARNING] tensorflow: TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
2026-06-24 13:11:57,096 [INFO] hives.inference.model: load_model: modelo cargado correctamente desde c:\Users\Victus-LP\SynologyDrive\Uni\2025-2026\zTFG\Repo\Trabajo-Fin-de-Grado-2025-2026\models\mejor_modelo.keras
2026-06-24 13:11:57,097 [INFO] hives.inference.model: load_model: clases.json cargado (5 clases)
2026-06-24 13:11:57,097 [INFO] hives.gui.main_window: Modelo cargado correctamente
2026-06-24 13:11:57,171 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Victus-LP\\SynologyDrive\\Uni\\2025-2026\\zTFG\\Repo\\Trabajo-Fin-de-Grado-2025-2026\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', index=0, name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-06-24 13:11:57,171 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Victus-LP\\SynologyDrive\\Uni\\2025-2026\\zTFG\\Repo\\Trabajo-Fin-de-Grado-2025-2026\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', index=0, name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-06-24 13:11:57,172 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Victus-LP\\SynologyDrive\\Uni\\2025-2026\\zTFG\\Repo\\Trabajo-Fin-de-Grado-2025-2026\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', index=0, name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-24 13:11:57,172 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Victus-LP\\SynologyDrive\\Uni\\2025-2026\\zTFG\\Repo\\Trabajo-Fin-de-Grado-2025-2026\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', index=0, name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2026-06-24 13:11:57,172 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Victus-LP\\SynologyDrive\\Uni\\2025-2026\\zTFG\\Repo\\Trabajo-Fin-de-Grado-2025-2026\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', index=0, name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-06-24 13:11:57,172 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Victus-LP\\SynologyDrive\\Uni\\2025-2026\\zTFG\\Repo\\Trabajo-Fin-de-Grado-2025-2026\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', index=0, name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-24 13:11:57,172 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Victus-LP\\SynologyDrive\\Uni\\2025-2026\\zTFG\\Repo\\Trabajo-Fin-de-Grado-2025-2026\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', index=0, name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-06-24 13:11:57,172 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Victus-LP\\SynologyDrive\\Uni\\2025-2026\\zTFG\\Repo\\Trabajo-Fin-de-Grado-2025-2026\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', index=0, name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-06-24 13:11:57,172 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Victus-LP\\SynologyDrive\\Uni\\2025-2026\\zTFG\\Repo\\Trabajo-Fin-de-Grado-2025-2026\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', index=0, name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2026-06-24 13:11:57,172 [DEBUG] matplotlib.font_manager: findfont: score(FontEntry(fname='C:\\Users\\Victus-LP\\SynologyDrive\\Uni\\2025-2026\\zTFG\\Repo\\Trabajo-Fin-de-Grado-2025-2026\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', index=0, name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
